chr,start,end,testSample1,testSample2
1,210000,239999,0.130394877,0.595877403
2,0,29999,0.170749928,0.563014313
2,243090000,243119999,-0.170896674,0.549981885
1,360000,389999,0.412780462,0.441870535
2,30000,59999,0.128739178,0.428555708
1,249210000,249239999,0.167249586,0.427202923
1,240000,269999,0.054329319,0.397734339
1,510000,539999,0.160044381,0.392683121
2,243180000,243209999,0.055943003,0.357101146
1,30000,59999,-0.060019255,0.328325961
1,196380000,196409999,-0.236128276,0.324682825
1,98310000,98339999,-0.304822532,0.319452877
2,193620000,193649999,-0.200800915,0.308786987
2,211980000,212009999,-0.128360764,0.300576969
2,195180000,195209999,-0.140596379,0.296703102
1,102630000,102659999,-0.310144099,0.296493124
2,156540000,156569999,-0.295244408,0.294084027
2,179550000,179579999,-0.162504735,0.293990855
1,72480000,72509999,-0.189304443,0.292590496
1,198840000,198869999,-0.266896492,0.288582986
1,198240000,198269999,-0.31213062,0.287275502
1,60000,89999,-0.043318809,0.286981373
2,211920000,211949999,-0.115384857,0.286797122
1,195780000,195809999,-0.189865718,0.285407227
1,190440000,190469999,-0.201245345,0.284715271
2,179580000,179609999,-0.291461531,0.284517959
1,72660000,72689999,-0.271712427,0.284255057
2,146100000,146129999,-0.288505997,0.282259417
1,73020000,73049999,-0.120941775,0.281170217
2,195450000,195479999,-0.081503295,0.280494648
2,189840000,189869999,-0.205790989,0.279152537
1,194280000,194309999,-0.118118979,0.277550863
1,191970000,191999999,-0.21532079,0.276559902
2,40830000,40859999,-0.369447174,0.276551494
1,102000000,102029999,-0.201387171,0.276452872
1,103470000,103499999,-0.088608479,0.275908945
2,188280000,188309999,-0.114796478,0.273108639
1,105570000,105599999,-0.17796583,0.272705202
2,243060000,243089999,0.020572768,0.271800611
1,72450000,72479999,-0.222005748,0.271057788
1,190410000,190439999,-0.133651963,0.269251676
2,193980000,194009999,-0.163153077,0.269218277
1,192300000,192329999,-0.20844629,0.269151662
1,72540000,72569999,-0.124055119,0.26905113
1,79770000,79799999,-0.146994964,0.268389906
1,98220000,98249999,-0.177222115,0.268021924
2,193560000,193589999,-0.34183558,0.266843871
1,103530000,103559999,-0.279999962,0.266482999
1,103440000,103469999,-0.328957776,0.266372537
1,98190000,98219999,-0.187884097,0.265354873
2,193050000,193079999,-0.05281239,0.264436459
2,142830000,142859999,-0.30401859,0.264295319
2,13470000,13499999,-0.145343444,0.264038551
2,77580000,77609999,-0.327788875,0.263454415
2,144900000,144929999,-0.180377577,0.263034958
2,126630000,126659999,-0.090558044,0.26301948
1,72630000,72659999,-0.255614935,0.261937596
1,98370000,98399999,-0.247069744,0.26174622
2,193590000,193619999,-0.197528637,0.260976846
1,72690000,72719999,-0.192540464,0.260285557
1,105960000,105989999,-0.1171528,0.259779161
1,188340000,188369999,-0.264400181,0.259772791
2,213900000,213929999,-0.203001381,0.259394883
2,167250000,167279999,-0.354385792,0.259380346
2,163200000,163229999,-0.274701427,0.25926301
2,78780000,78809999,-0.362466317,0.259186478
2,144000000,144029999,-0.218388397,0.258694817
1,98040000,98069999,-0.055603151,0.258165671
1,198780000,198809999,-0.131448635,0.257912656
1,104280000,104309999,-0.075967365,0.257385642
1,74370000,74399999,-0.339536513,0.256463301
2,179610000,179639999,-0.218987921,0.256051144
1,169920000,169949999,-0.184810279,0.256043802
2,142860000,142889999,-0.22529942,0.255794304
1,195810000,195839999,-0.036971933,0.255783224
2,185310000,185339999,-0.138754299,0.255131152
1,103650000,103679999,-0.070841017,0.255015219
2,194010000,194039999,-0.091615433,0.254930588
2,51360000,51389999,-0.100862036,0.254591021
2,181830000,181859999,-0.089754686,0.254574789
1,198810000,198839999,-0.215902422,0.254065358
1,103500000,103529999,-0.135057783,0.253723279
1,186030000,186059999,-0.1230028,0.25332525
2,146610000,146639999,-0.236676601,0.253094527
2,163680000,163709999,-0.166050788,0.25299367
2,213270000,213299999,-0.156536358,0.252872811
2,211950000,211979999,-0.082272432,0.252868429
2,146130000,146159999,-0.171158465,0.252814325
2,194310000,194339999,-0.168177936,0.252497729
1,188400000,188429999,-0.125693959,0.252256302
1,188130000,188159999,-0.320209475,0.252157505
1,192330000,192359999,-0.272674266,0.251715648
1,97530000,97559999,-0.215988057,0.251212697
1,194310000,194339999,-0.012205225,0.251197424
2,193170000,193199999,-0.252429479,0.2509492
2,195360000,195389999,-0.222605792,0.250946585
1,98280000,98309999,-0.085915355,0.250509233
2,144120000,144149999,-0.199428818,0.250145148
2,195570000,195599999,-0.139528055,0.249348308
1,195960000,195989999,-0.238010017,0.248818109
1,98490000,98519999,-0.218346754,0.248615814
2,213210000,213239999,-0.313143255,0.248103859
2,144180000,144209999,-0.26341129,0.247678055
2,193530000,193559999,-0.307984487,0.247428565
2,213240000,213269999,-0.32903728,0.247385175
2,117780000,117809999,-0.179263012,0.247347413
2,163770000,163799999,-0.172049153,0.247317074
2,166860000,166889999,-0.336816838,0.247306199
2,195420000,195449999,-0.230648744,0.246937199
2,195150000,195179999,-0.353370231,0.246832861
